month,day,hour,weekday,ride_count,weekday_num
4,15,1,Tuesday,71,1
4,15,2,Tuesday,61,1
4,15,3,Tuesday,104,1
4,15,4,Tuesday,141,1
4,15,5,Tuesday,277,1
4,15,6,Tuesday,564,1
4,15,7,Tuesday,992,1
4,15,8,Tuesday,921,1
4,15,9,Tuesday,663,1
4,15,10,Tuesday,727,1
4,15,11,Tuesday,741,1
4,15,12,Tuesday,688,1
4,15,13,Tuesday,798,1
4,15,14,Tuesday,881,1
4,15,15,Tuesday,1012,1
4,15,16,Tuesday,1580,1
4,15,17,Tuesday,1767,1
4,15,18,Tuesday,1702,1
4,15,19,Tuesday,1743,1
4,15,20,Tuesday,1802,1
4,15,21,Tuesday,1629,1
4,15,22,Tuesday,1076,1
4,15,23,Tuesday,564,1
4,16,0,Wednesday,216,2
4,16,1,Wednesday,97,2
4,16,2,Wednesday,72,2
4,16,3,Wednesday,122,2
4,16,4,Wednesday,168,2
4,16,5,Wednesday,330,2
4,16,6,Wednesday,695,2
4,16,7,Wednesday,938,2
4,16,8,Wednesday,904,2
4,16,9,Wednesday,646,2
4,16,10,Wednesday,557,2
4,16,11,Wednesday,583,2
4,16,12,Wednesday,589,2
4,16,13,Wednesday,675,2
4,16,14,Wednesday,843,2
4,16,15,Wednesday,1127,2
4,16,16,Wednesday,1418,2
4,16,17,Wednesday,1514,2
4,16,18,Wednesday,1310,2
4,16,19,Wednesday,1187,2
4,16,20,Wednesday,1220,2
4,16,21,Wednesday,1238,2
4,16,22,Wednesday,778,2
4,16,23,Wednesday,490,2
4,17,0,Thursday,227,3
4,17,1,Thursday,108,3
4,17,2,Thursday,101,3
4,17,3,Thursday,131,3
4,17,4,Thursday,210,3
4,17,5,Thursday,347,3
4,17,6,Thursday,766,3
4,17,7,Thursday,1052,3
4,17,8,Thursday,898,3
4,17,9,Thursday,656,3
4,17,10,Thursday,611,3
4,17,11,Thursday,665,3
4,17,12,Thursday,706,3
4,17,13,Thursday,849,3
4,17,14,Thursday,983,3
4,17,15,Thursday,1179,3
4,17,16,Thursday,1478,3
4,17,17,Thursday,1637,3
4,17,18,Thursday,1680,3
4,17,19,Thursday,1541,3
4,17,20,Thursday,1514,3
4,17,21,Thursday,1529,3
4,17,22,Thursday,1331,3
4,17,23,Thursday,774,3
4,18,0,Friday,438,4
4,18,1,Friday,222,4
4,18,2,Friday,148,4
4,18,3,Friday,208,4
4,18,4,Friday,228,4
4,18,5,Friday,292,4
4,18,6,Friday,401,4
4,18,7,Friday,646,4
4,18,8,Friday,720,4
4,18,9,Friday,640,4
4,18,10,Friday,558,4
4,18,11,Friday,634,4
4,18,12,Friday,665,4
4,18,13,Friday,770,4
4,18,14,Friday,877,4
4,18,15,Friday,1139,4
4,18,16,Friday,1276,4
4,18,17,Friday,1165,4
4,18,18,Friday,1344,4
4,18,19,Friday,1147,4
4,18,20,Friday,1055,4
4,18,21,Friday,1149,4
4,18,22,Friday,1326,4
4,18,23,Friday,1026,4
4,19,0,Saturday,635,5
4,19,1,Saturday,443,5
4,19,2,Saturday,301,5
4,19,3,Saturday,223,5
4,19,4,Saturday,151,5
4,19,5,Saturday,154,5
4,19,6,Saturday,176,5
4,19,7,Saturday,221,5
4,19,8,Saturday,290,5
4,19,9,Saturday,386,5
4,19,10,Saturday,464,5
4,19,11,Saturday,542,5
4,19,12,Saturday,603,5
4,19,13,Saturday,616,5
4,19,14,Saturday,677,5
4,19,15,Saturday,912,5
4,19,16,Saturday,1014,5
4,19,17,Saturday,979,5
4,19,18,Saturday,1036,5
4,19,19,Saturday,1004,5
4,19,20,Saturday,828,5
4,19,21,Saturday,992,5
4,19,22,Saturday,1105,5
4,19,23,Saturday,850,5
4,20,0,Sunday,544,6
4,20,1,Sunday,433,6
4,20,2,Sunday,275,6
4,20,3,Sunday,209,6
4,20,4,Sunday,149,6
4,20,5,Sunday,118,6
4,20,6,Sunday,126,6
4,20,7,Sunday,183,6
4,20,8,Sunday,291,6
4,20,9,Sunday,431,6
4,20,10,Sunday,509,6
4,20,11,Sunday,579,6
4,20,12,Sunday,619,6
4,20,13,Sunday,642,6
4,20,14,Sunday,604,6
4,20,15,Sunday,727,6
4,20,16,Sunday,735,6
4,20,17,Sunday,618,6
4,20,18,Sunday,664,6
